package_version,code_name,release_version,status
5.0ubuntu1,Karmic,9.10,EOL
5ubuntu4,Karmic,9.10,EOL
5ubuntu4,Jaunty,9.04,EOL
5ubuntu3,Jaunty,9.04,EOL
5ubuntu2,Jaunty,9.04,EOL
4.0.1ubuntu5.8.04.4,Hardy,8.04,EOL
5ubuntu1,Jaunty,9.04,EOL
4.0.1ubuntu5.8.04.3,Hardy,8.04,EOL
4.0.6ubuntu1,Jaunty,9.04,EOL
4.0.5ubuntu2,Jaunty,9.04,EOL
4.0.5ubuntu1,Jaunty,9.04,EOL
4.0.4ubuntu2,Jaunty,9.04,EOL
4.0.4ubuntu2.2,Intrepid,8.10,EOL
4.0.4ubuntu2.1,Intrepid,8.10,EOL
4.0.4ubuntu2,Intrepid,8.10,EOL
4.0.4ubuntu1,Intrepid,8.10,EOL
4.0.1ubuntu5.8.04.2,Hardy,8.04,EOL
4.0.1ubuntu5.8.04.1,Hardy,8.04,EOL
4.0.1ubuntu6,Intrepid,8.10,EOL
4.0.1ubuntu5,Intrepid,8.10,EOL
4.0.1ubuntu5,Hardy,8.04,EOL
4.0.1ubuntu4,Hardy,8.04,EOL
4.0.1ubuntu3,Hardy,8.04,EOL
4.0.1ubuntu2,Hardy,8.04,EOL
3.1.9ubuntu7.2,Dapper,6.06,EOL
4.0.1ubuntu1,Hardy,8.04,EOL
4.0.0ubuntu6,Hardy,8.04,EOL
4.0.0ubuntu5,Hardy,8.04,EOL
4.0.0ubuntu5,Gutsy,7.10,EOL
4.0.0ubuntu4,Gutsy,7.10,EOL
4.0.0ubuntu3,Gutsy,7.10,EOL
4.0.0ubuntu2,Gutsy,7.10,EOL
4.0.0ubuntu1,Gutsy,7.10,EOL
4.0ubuntu1,Gutsy,7.10,EOL
4ubuntu2,Gutsy,7.10,EOL
4ubuntu2,Feisty,7.04,EOL
4ubuntu1,Feisty,7.04,EOL
3.1.16ubuntu2,Feisty,7.04,EOL
3.1.16ubuntu1,Feisty,7.04,EOL
3.1.13ubuntu2,Feisty,7.04,EOL
3.1.13ubuntu2,Edgy,6.10,EOL
3.1.9ubuntu7.1,Dapper,6.06,EOL
3.1.13ubuntu1,Edgy,6.10,EOL
3.1.9ubuntu9,Edgy,6.10,EOL
3.1.9ubuntu8,Edgy,6.10,EOL
3.1.9ubuntu7,Edgy,6.10,EOL
3.1.9ubuntu7,Dapper,6.06,EOL
3.1.9ubuntu6,Dapper,6.06,EOL
3.1.9ubuntu5,Dapper,6.06,EOL
3.1.9ubuntu4,Dapper,6.06,EOL
3.1.9ubuntu3,Dapper,6.06,EOL
3.1.9ubuntu2,Dapper,6.06,EOL
3.1.5ubuntu4,Breezy,5.10,EOL
3.1.0ubuntu3,Hoary,5.04,EOL
3.0.16ubuntu6,Warty,4.10,EOL
